Provincia,Partido,Localidad,Poblacion,ADSL,CABLEMODEM,FIBRA OPTICA,SATELITAL,WIMAX,WIRELESS,DIAL UP,OTROS,Total general,TELEFONIAFIJA,3G,4G,Latitud,Longitud
CATAMARCA,Belén,Las Juntas,258.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,--,--,--,-27.5255267279244,-67.1230327103174
CATAMARCA,Belén,Puerta de San José,277.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,--,--,--,-27.5397412070942,-67.0153310519752
CATAMARCA,Capayán,Capayán,636.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,--,--,SI,-28.7807106449765,-66.0386455444458
CATAMARCA,Capayán,Chumbicha,4531.0,162.0,0.0,5.0,1.0,0.0,474.0,0.0,0.0,642.0,SI,SI,SI,-28.8475652676601,-66.2413567840968
CATAMARCA,Capayán,Colonia del Valle,854.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,SI,--,--,-28.6659572317315,-65.8752053335172
CATAMARCA,Capayán,Colonia Nueva Coneta,1951.0,0.0,0.0,10.0,1.0,0.0,9.0,0.0,0.0,20.0,SI,SI,SI,-28.5859218596167,-65.8384330489801
CATAMARCA,Capayán,Coneta,653.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,11.0,SI,--,--,-28.5824940471212,-65.8832899522771
CATAMARCA,Capayán,Huillapima,2416.0,0.0,0.0,5.0,2.0,0.0,9.0,0.0,0.0,16.0,SI,SI,SI,-28.7326533523263,-65.9692671337206
CATAMARCA,Capayán,Miraflores,1650.0,0.0,0.0,7.0,2.0,0.0,10.0,0.0,0.0,19.0,SI,SI,SI,-28.61156437771,-65.9045510608673
CATAMARCA,Capayán,San Martín,426.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,--,--,SI,-29.2514238184412,-65.7966971627176
CATAMARCA,Capayán,Los Angeles,383.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,--,--,--,-28.4757282890296,-65.9584714095267
CATAMARCA,Capital,El Pantanillo,44.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,SI,SI,SI,-28.5416893432334,-65.8026632730873
CATAMARCA,Capital,San Fernando del Valle de Catamarca,159139.0,11917.0,15517.0,25128.0,1.0,0.0,13.0,1.0,0.0,52577.0,SI,SI,SI,-28.4846581947085,-65.7867892937631
CATAMARCA,El Alto,El Alto,754.0,0.0,0.0,0.0,1.0,0.0,28.0,0.0,0.0,29.0,--,SI,SI,-28.3027477561138,-65.3693767192491
CATAMARCA,El Alto,Tapso,191.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,--,--,--,-28.415904197716,-65.1086409589416
CATAMARCA,La Paz,Icaño,2104.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,SI,SI,SI,-28.9308886124085,-65.2902158081112
CATAMARCA,La Paz,Recreo,11847.0,608.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,614.0,SI,SI,SI,-29.2768611237227,-65.0565641552447
CATAMARCA,La Paz,San Antonio,1835.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,26.0,SI,SI,SI,-28.9331053161662,-65.0949655869377
CATAMARCA,La Paz,Quirós,1156.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,27.0,SI,--,SI,-28.7883056058069,-65.1007302335708
CATAMARCA,Paclín,La Merced,1759.0,75.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,84.0,SI,--,SI,-28.1537649054231,-65.6696062414473
CATAMARCA,Paclín,La Viña,129.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,--,--,--,-28.044445782746,-65.6079383578395
CATAMARCA,Paclín,Las Lajas,136.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,--,--,--,-27.826913357423,-65.7401079267206
CATAMARCA,Paclín,San Antonio,266.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,8.0,--,--,--,-28.0073083693979,-65.726850392729
CATAMARCA,Pomán,Mutquin,1075.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,--,--,--,-28.3178455729042,-66.1420642866296
CATAMARCA,Pomán,Pomán,2856.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,SI,SI,SI,-28.3927801149204,-66.2220823999264
CATAMARCA,Pomán,San Miguel,413.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,--,--,--,-28.1297413013666,-66.2019565174868
CATAMARCA,Pomán,Saujil,2368.0,0.0,0.0,0.0,1.0,0.0,169.0,0.0,0.0,170.0,SI,--,SI,-28.173337080009,-66.2145148644181
CATAMARCA,Pomán,Siján,1169.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,SI,--,--,-28.2623558875079,-66.2209299175292
CATAMARCA,Pomán,Colpes,774.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,16.0,--,--,--,-28.0606503909839,-66.2065039006705
CATAMARCA,Santa María,La Loma,388.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,--,--,--,-26.7574990827117,-66.0331064865258
CATAMARCA,Santa María,San José,2901.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,--,--,--,-26.77456,-66.0347
CATAMARCA,Santa María,Santa María,11648.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2151.0,2152.0,--,--,--,-26.6891167120231,-66.018884441311
CATAMARCA,Santa Rosa,Alijilán,1396.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,SI,--,SI,-28.1771812692249,-65.4915924205872
CATAMARCA,Santa Rosa,Bañado de Ovanta,1096.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,SI,--,SI,-28.1034003361447,-65.3076846046355
CATAMARCA,Santa Rosa,Lavalle,792.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,--,--,--,-28.1946338127179,-65.1137806266473
CATAMARCA,Santa Rosa,Los Altos,4490.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,7.0,SI,SI,SI,-28.0488590493489,-65.4973640431533
CATAMARCA,Tinogasta,Fiambalá,4693.0,0.0,0.0,8.0,1.0,0.0,7.0,0.0,0.0,16.0,SI,SI,SI,-27.69316213413,-67.608574901701
CATAMARCA,Tinogasta,Tinogasta,11485.0,545.0,0.0,1828.0,2.0,0.0,0.0,0.0,0.0,2375.0,SI,--,SI,-28.0637510698675,-67.5802695760226
CATAMARCA,Valle Viejo,El Portezuelo,410.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,--,SI,--,-28.4818680419511,-65.6351326652418
CATAMARCA,Valle Viejo,San Isidro,25674.0,0.0,0.0,808.0,0.0,0.0,5.0,0.0,0.0,813.0,--,SI,SI,-28.4583109666735,-65.726757673457
CATAMARCA,Valle Viejo,Santa Rosa,0.0,0.0,0.0,759.0,0.0,0.0,5.0,0.0,0.0,764.0,--,SI,SI,-28.447802287271,-65.7055328995515
CATAMARCA,Valle Viejo,Villa Dolores,0.0,0.0,0.0,103.0,0.0,0.0,5.0,0.0,0.0,108.0,--,--,SI,-28.4434739220039,-65.7215360640125
CATAMARCA,Valle Viejo,Sumalao,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,6.0,--,--,--,-28.4746455518307,-65.7433480027028
CATAMARCA,Valle Viejo,Polcos,0.0,0.0,0.0,213.0,0.0,0.0,0.0,0.0,0.0,213.0,--,--,--,-28.4333815878035,-65.7202973350365
CATAMARCA,Valle Viejo,Pozo Del Mistol,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,--,--,--,-28.4689789857859,-65.7195047318519
CATAMARCA,Valle Viejo,El Bañado,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,--,--,--,-28.4594352492075,-65.7113717209433
CATAMARCA,Fray Mamerto Esquiú,San Antonio,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,--,SI,SI,-28.4237766788262,-65.7062134320732
CATAMARCA,Fray Mamerto Esquiú,Villa Las Pirquitas,740.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,--,--,SI,-28.2754665210832,-65.733431477509
CATAMARCA,Fray Mamerto Esquiú,La Carrera,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,--,--,--,-28.3495576813874,-65.7091195877043
CATAMARCA,Fray Mamerto Esquiú,El Hueco,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,26.0,--,SI,--,-28.4127884506849,-65.7175369854892
CATAMARCA,Fray Mamerto Esquiú,La Falda De San Antonio,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,--,--,--,-28.4198487342191,-65.6988377960377
CATAMARCA,Fray Mamerto Esquiú,La Tercena,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,--,SI,--,-28.3734473479931,-65.7081292515981
